"1-> Luhn, 2-> LSA, 3->Text-Rank",,,#Tweets: 186
,,,
1+2+3,"#CycloneFani: #NarendraModi announces Rs1,000 crore relief package https:\/\/t.co\/1DD6lDZuth.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/x4DwU36Q7I.,,
1+2+3,LIVE Watch here \ud83d\udc49https:\/\/t.co\/6Uhn9bAxbz\n#CycloneFani Category 2 Massive Storm 200km\/hr landfall in Eastern INDIA |\u2026 https:\/\/t.co\/41taBdQWgG.,,
1+2+3,"PLEASE RETWEET -\n#Odisha\u2019s emergency helpline number for Cyclone Fani +916742534177, Control room number of differe\u2026 https:\/\/t.co\/joxoX8DPNA.",,
1+2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/CpfoqR65ZF.,,
1+2+3,"#CycloneFani: 2 dead already, lakhs affected.\nMamta Banerjee: Cancels all rallies for 2 days.\nModi: Says Nation is\u2026 https:\/\/t.co\/ejDiF36E1H.",,
1+2+3,Three killed during cyclone Fani in Odisha: Officials https:\/\/t.co\/QouZdqJhE9\n#CycloneFanideathtoll #Odisha #CycloneFani #CycloneFaniupdates.,,
1+2+3,So far @RailMinIndia has canceled a total of 223 #trains to avoid facing any loss due to #CycloneFani | #LIVE\u2026 https:\/\/t.co\/NXiJZfxi8a.,,
1+2+3,Cyclone #Fani had already hit the coast of Puri and will reach Bengal within 2-3 days.,,
1+2+3,#cyclonefani #CycloneFaniUpdates \nWind Speed 225 kmph \nVery very scary...\ud83d\ude23\ud83d\ude1f https:\/\/t.co\/plaNb7SJDS.,,
1+2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/Ul20j1gfav.,,
1+2+3,"#CycloneFani has made landfall on India's eastern coast as a grade 5 storm, lashing the emptied beaches with rain a\u2026 https:\/\/t.co\/zY3YBQZut3.",,
1+2+3,LIVE | Three people were killed in separate incidents as cyclone Fani battered the Odisha coast Friday.\n\nMore\u2026 https:\/\/t.co\/rjOaLsinQH.,,
1+2+3,India evacuates over 1 million as Powerful #CycloneFani makes landfall https:\/\/t.co\/hLDMpDydJF.,,
1+2+3,"#CycloneFani is here: In 52 yrs, only 9 such cyclones have hit India in May https:\/\/t.co\/mworOErzOl.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/eGZkq3s1Qn.,,
1+2+3,Today Approximately at 0800hrs Cyclone Fani touched Odisha causing severe Damage and loss of life .,,
1+2+3,Cyclone #Fani made landfall overnight in India's Odisha state as the equivalent of a borderline Category 3\/4 hurric\u2026 https:\/\/t.co\/qpuBmMuEOB.,,
1+2+3,#CycloneFani LIVE Updates: Three Killed During Cyclone Fani In Odisha\n\nCatch LIVE updates here:\u2026 https:\/\/t.co\/5eUbUu9EuB.,,
1+2+3,#CycloneFani: 13 Navy aircraft are at standby in Visakhapatnam to carry out damage assessment and relief distributi\u2026 https:\/\/t.co\/xeT0ygdXBj.,,
1+2+3,"#CycloneFani | Three killed during cyclone Fani in Odisha, PTI quotes officials \n\nTrack updates here:\u2026 https:\/\/t.co\/ngnjSE9nn3.",,
1+2+3,"Over a million people evacuated in #Orissa, #India preparation for #CyclonicStormFANI Last time around, the cyclone\u2026 https:\/\/t.co\/s7QQMb9KUf.",,
1+2+3,Odisha 2019s emergency helpline number for Cyclone Fani is +916742534177.\n\nControl room numbers have also been issued f\u2026 https:\/\/t.co\/3aqukkAuux.,,
1+2+3,"PM #Modi said over 91,000 crore had been released in advance for the states affected by #CycloneFani | #LIVE\u2026 https:\/\/t.co\/sxO1LmBIs5.",,
1+2+3,"I have heard of 6 fatalities in India from #Fani but compared to 1999 Cyclone that killed 10,000 this storm so far\u2026 https:\/\/t.co\/8iHKGh6CCi.",,
1+2+3,"After making landfall this morning, cyclone Fani has started weakening and it's likely to enter Bangladesh by tomor\u2026 https:\/\/t.co\/Va1beHo05O.",,
1+2+3,"#CycloneFani: Nearly about 11 lakh people evacuated from 10,000 villages and 52 urban areas are now staying in over\u2026 https:\/\/t.co\/OAQNqP6Lpd.",,
1+2+3,"#JustIn | 23 flights to and from the Lokpriya Gopinath Bordoloi International Airport, Guwahati have been cancelled due to #CycloneFani.",,
1+2+3,23 Guwahati airport flights cancelled for cyclone Fani | Indiablooms - First Portal on Digital News Management\u2026 https:\/\/t.co\/rzZWtxqEX9.,,
1+2+3,#CycloneFani is likely to hit West Bengal tonight.,,
1+2+3,"Six light helicopters with a winch for rescue work, five medium-lift helicopters for deploying the relief material\u2026 https:\/\/t.co\/0xmnnSzkPy.",,
1+2+3,"#CycloneFani, the strongest storm in India in two decades, hit Odisha this morning.\n\nPictures of #Fani are really t\u2026 https:\/\/t.co\/A5qboCHetO.",,
1+2+3,WATCH: #CycloneFani making landfall in Odisha earlier today https:\/\/t.co\/SIXzoaODKP.,,
