"1-> Luhn, 2-> LSA, 3->Text-Rank",,,#Tweets: 73
,,,
1+2+3,"#CycloneFani: #NarendraModi announces Rs1,000 crore relief package https:\/\/t.co\/1DD6lDZuth.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/x4DwU36Q7I.,,
1+2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/CpfoqR65ZF.,,
1+2+3,"Breaking | Three dead in Odisha, storm weakens to 'very severe'\n#CycloneFani Follow LIVE UPDATES\nhttps:\/\/t.co\/uI0XKjeRMH.",,
1+2+3,#WATCH: Visuals of heavy rainfall and strong winds from Balipatna in Khurda after #CycloneFani made a landfall in O\u2026 https:\/\/t.co\/8Qp6HThxDN.,,
1+2+3,"#CycloneFani: 2 dead already, lakhs affected.\nMamta Banerjee: Cancels all rallies for 2 days.\nModi: Says Nation is\u2026 https:\/\/t.co\/ejDiF36E1H.",,
1+2+3,So far @RailMinIndia has canceled a total of 223 #trains to avoid facing any loss due to #CycloneFani | #LIVE\u2026 https:\/\/t.co\/NXiJZfxi8a.,,
1+2+3,#cyclonefani #CycloneFaniUpdates \nWind Speed 225 kmph \nVery very scary...\ud83d\ude23\ud83d\ude1f https:\/\/t.co\/plaNb7SJDS.,,
1+2+3,"#NewsAlert | Cyclone Fani, the strongest storm to hit India since 2014, is weakening after barreling into #Odisha s\u2026 https:\/\/t.co\/RXMJKuutWJ.",,
1+2+3,Cyclone Fani Live Updates: Where Fani is Currently Active; Live Map Video; death toll at 3 \nhttps:\/\/t.co\/RvrFU6WQsq\u2026 https:\/\/t.co\/ScUHXNGXae.,,
1+2+3,Cyclone #Fani makes landfall in eastern India #CycloneFani \n\n@ChennaiRains @vinsonkurian \n\nhttps:\/\/t.co\/UECevVtAcP.,,
1+2+3,"#CycloneFani has made landfall on India's eastern coast as a grade 5 storm, lashing the emptied beaches with rain a\u2026 https:\/\/t.co\/zY3YBQZut3.",,
1+2+3,LIVE | Three people were killed in separate incidents as cyclone Fani battered the Odisha coast Friday.\n\nMore\u2026 https:\/\/t.co\/rjOaLsinQH.,,
1+2+3,"When over a million people in Odisha have to be moved out from their homes to safer shelters, when news of death to\u2026 https:\/\/t.co\/nNF9GSuNnB.",,
1+2+3,#CycloneFani: 13 Navy aircraft are at standby in Visakhapatnam to carry out damage assessment and relief distributi\u2026 https:\/\/t.co\/xeT0ygdXBj.,,
1+2+3,"#CycloneFani | Three killed during cyclone Fani in Odisha, PTI quotes officials \n\nTrack updates here:\u2026 https:\/\/t.co\/ngnjSE9nn3.",,
1+2+3,"PM #Modi said over 91,000 crore had been released in advance for the states affected by #CycloneFani | #LIVE\u2026 https:\/\/t.co\/sxO1LmBIs5.",,
1+2+3,"#CycloneFani #Cuttack We have strong winds from last 4 hrs, 12pm till now it's very very strong with trees uprooted, metal roofs blown away.. A powerful cyclone lashed coastal areas of eastern #India on Friday with torrential rain and winds gusting up to 12\u2026 https:\/\/t.co\/tPi15QqrWW.",,
1+2+3,"After making landfall this morning, cyclone Fani has started weakening and it's likely to enter Bangladesh by tomor\u2026 https:\/\/t.co\/Va1beHo05O.",,
1+2+3,"#CycloneFani: Nearly about 11 lakh people evacuated from 10,000 villages and 52 urban areas are now staying in over\u2026 https:\/\/t.co\/OAQNqP6Lpd.",,
1+2+3,"#FANI is heading to #Bangladesh, Update for that https:\/\/t.co\/pXE75yetxY.",,
1+2+3,"#JustIn | 23 flights to and from the Lokpriya Gopinath Bordoloi International Airport, Guwahati have been cancelled due to #CycloneFani.",,
1+2+3,23 Guwahati airport flights cancelled for cyclone Fani | Indiablooms - First Portal on Digital News Management\u2026 https:\/\/t.co\/rzZWtxqEX9.,,
1+2+3,WATCH: #CycloneFani making landfall in Odisha earlier today https:\/\/t.co\/SIXzoaODKP.,,
1+2+3,"Cyclone Fani kills two in eastern India, a million evacuated\nhttps:\/\/t.co\/ncTbG29KNC #CycloneFani.",,
1+2+3,1000 crore in advance to affected areas as a relief for #CycloneFani.\u2026 https:\/\/t.co\/oNi0lS8Cq7.,,
1+2+3,Wind touching 200kmph\n#CycloneFani #Fani #Bhubaneswar #BeSafe #mothernature #FaniCyclone https:\/\/t.co\/E9CNHn21hk.,,
1+2+3,More than one million people have been evacuated from the Eastern stat\u2026 https:\/\/t.co\/YoivYt5gGk.,,
1+2+3,"cyclone #fani hits India west of Puri, 2 deaths reported so far https:\/\/t.co\/poJHW4CWM7.",,
1+2+3,"Weather Forecast May 4: Cyclone Fani to weaken in depression, heavy rains in Kolkata, WB, Bihar, Jharkhand Assam\u2026 https:\/\/t.co\/kJrkoZL7Ox.",,
1+2+3,"#CycloneFani : Indian Railways permits free transportation of relief material for West Bengal, Odisha and Andra Pra\u2026 https:\/\/t.co\/VaoeboXh57.",,
1+2+3,Cyclone Fani Makes Landfall On India's East Coast\n\n#CycloneFani #Odisha #WestBengal #Fani\n\nhttps:\/\/t.co\/AnKQMLNtiC.,,
