"1-> Luhn, 2->LSA, 3-> Text-Rank",,,#Tweets: 46
,,,
1+2+3,"Glimpse of #CycloneFani, the strongest storm to hit Odisha in two decades https:\/\/t.co\/HsLyJkwufQ.",,
1+2+3,#Odisha's Emergency Helpline number for #CycloneFani +916742534177\nControl room numbers of different districts :- https:\/\/t.co\/x4DwU36Q7I.,,
1+2+3,A powerful #CycloneFani has lashed coastal areas of eastern India with torrential rain and winds gusting up to 200k\u2026 https:\/\/t.co\/CpfoqR65ZF.,,
1+2+3,"#CycloneFani has made landfall on India's eastern coast as a grade 5 storm, lashing the emptied beaches with rain a\u2026 https:\/\/t.co\/zY3YBQZut3.",,
1+2+3,LIVE | Three people were killed in separate incidents as cyclone Fani battered the Odisha coast Friday.\n\nMore\u2026 https:\/\/t.co\/rjOaLsinQH.,,
1+2+3,Cyclone Fani makes landfall in eastern India #CycloneFani https:\/\/t.co\/qySZ4rw6sk\nOh it's definitely coming to my side..... @rashtrapatibhvn NEET is going to be held on 5th may.Cyclone Feni has deteriorated the conditions in several state.\u2026 https:\/\/t.co\/Ffgy6dd7mR.,,
1+2+3,"When over a million people in Odisha have to be moved out from their homes to safer shelters, when news of death to\u2026 https:\/\/t.co\/nNF9GSuNnB.",,
1+2+3,Cyclone #Fani made landfall overnight in India's Odisha state as the equivalent of a borderline Category 3\/4 hurric\u2026 https:\/\/t.co\/qpuBmMuEOB.,,
1+2+3,"#CycloneFani | Three killed during cyclone Fani in Odisha, PTI quotes officials \n\nTrack updates here:\u2026 https:\/\/t.co\/ngnjSE9nn3.",,
1+2+3,"Over a million people evacuated in #Orissa, #India preparation for #CyclonicStormFANI Last time around, the cyclone\u2026 https:\/\/t.co\/s7QQMb9KUf.",,
1+2+3,"PM #Modi said over 91,000 crore had been released in advance for the states affected by #CycloneFani | #LIVE\u2026 https:\/\/t.co\/sxO1LmBIs5.",,
1+2+3,"#CycloneFani #Cuttack We have strong winds from last 4 hrs, 12pm till now it's very very strong with trees uprooted, metal roofs blown away.. A powerful cyclone lashed coastal areas of eastern #India on Friday with torrential rain and winds gusting up to 12\u2026 https:\/\/t.co\/tPi15QqrWW.",,
1+2+3,"After making landfall this morning, cyclone Fani has started weakening and it's likely to enter Bangladesh by tomor\u2026 https:\/\/t.co\/Va1beHo05O.",,
1+2+3,"#CycloneFani: Nearly about 11 lakh people evacuated from 10,000 villages and 52 urban areas are now staying in over\u2026 https:\/\/t.co\/OAQNqP6Lpd.",,
1+2+3,Cyclone fani is on the way to Bangladesh.. stay safe everyone.. \n#CycloneFani #bangladesh https:\/\/t.co\/YdzBvof7vz.,,
,,,
1+2,#CycloneFani as seen by #Sentinel3 before making landfall in Odisha \ud83c\uddee\ud83c\uddf3 this morning.,,
